Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Prime Hotel Tours,7.1,Yerevan,"32,000",Not Included,Standard Twin Room,Picnic area | Outdoor dining area | BBQ facilities (Additional charge) | Terrace | Garden,Ski-to-door access | Ski equipment hire on site | Ski storage,"Tour or class about local culture (Additional charge) | Happy hour (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Kids' club | Horse riding (Additional charge) | Hiking (Off-site, Additional charge) | Table tennis | Billiards | Skiing (Off-site)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in public areas and is free of charge.,Accessible parking | Parking garage,English | Armenian | Russian,Sun loungers or beach chairs | Hot tub/Jacuzzi (Additional charge) | Spa and wellness centre (Additional charge) | Fitness centre | Sauna,Doesn't have,Doesn't have
Aragats Hotel,8.8,Aragats,"16,720",Not Included,Single Room,Picnic area | Outdoor dining area | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Walking tours (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Zorats Akhbyur A V A G Y A N S Hotel,9.4,Goris,"12,000",Included,Single Room,Picnic area | Outdoor furniture | Terrace | Garden,Doesn't have,Live sport events (broadcast) | Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Happy hour (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Movie nights (Additional charge) | Temporary art galleries | Hiking,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,German | English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Mirhav,9.2,Goris,"28,000",Included,Large Twin Room,Outdoor furniture | BBQ facilities | Terrace,Doesn't have,Doesn't have,Breakfast in the room | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,,English | French | Russian,Fitness/spa locker rooms | Personal trainer | Fitness classes | Fitness | Sun loungers or beach chairs | Hammam (Additional charge) | Fitness centre | Sauna (Additional charge),Doesn't have,Doesn't have
Diana Hotel,8,Goris,"22,000",Included,Standard Double or Twin Room,Outdoor fireplace | Picnic area | Outdoor dining area | BBQ facilities | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Happy hour (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Couples massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Foot bath | Spa facilities | Body wrap | Body scrub | Body treatments | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Make up services | Waxing services | Facial treatments | Beauty Services | Horse riding (Off-site) | Hiking (Off-site) | Hot tub/Jacuzzi | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Fishing (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Parking garage,English | Russian,Doesn't have,Doesn't have,Doesn't have
EXCLUSIVE wine & GASTRO yard,9.5,Yeghegnadzor,"12,000",Included,Deluxe Double Room,Picnic area | Outdoor dining area | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,"Live sport events (broadcast) | Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Temporary art galleries | Badminton equipment | Horse riding (Off-site, Additional charge) | Cycling | Hiking | Children's playground | Fishing (Additional charge)",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Kirch Hotel & Restaurant,9.2,Goris,"18,000",Included,Twin Room with City View,Outdoor fireplace | Picnic area | Outdoor furniture | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Happy hour (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Pub crawls (Additional charge) | Table tennis (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Minibar,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Full body massage | Hand massage | Head massage | Couples massage | Foot massage | Neck massage | Back massage | Massage | Sauna (Additional charge),Doesn't have,Doesn't have
OUR House,9.7,Ejmiatsin,"12,000",Not Included,Budget Double Room,BBQ facilities,Doesn't have,Hiking,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Castle Family Hotel,7.8,Yerevan,"20,700",Included,Standard Single Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Patio | Terrace | Garden,Doesn't have,"Live sport events (broadcast) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Tennis equipment | Evening entertainment | Water sport facilities on site (Additional charge) | Horse riding (Off-site, Additional charge) | Hiking (Additional charge) | Darts | Table tennis | Children's playground | Games room | Fishing (Additional charge)",Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage,English | Russian,Doesn't have,Doesn't have,Doesn't have
Zangezur Hotel,9.5,Goris,"18,900",Included,Double Room,Picnic area | Outdoor furniture | Outdoor dining area | BBQ facilities | Patio | Terrace | Garden,Doesn't have,"Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Happy hour | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Horse riding (Off-site, Additional charge) | Hiking (Off-site, Additional charge) | Children's playground",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Bar | Restaurant,WiFi is available in some hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Guest house in Alaverdi,9.5,Alaverdi,"11,815",Included,Single Room with Mountain View,Terrace,Doesn't have,Hiking,Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Kanach tun,9.5,Yenokavan,"20,350",Not Included,Tent,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities (Additional charge) | Patio | Terrace | Garden,Doesn't have,"Bike tours (Additional charge) | Horse riding | Cycling (Off-site) | Hiking (Off-site, Additional charge) | Fishing (Off-site)",Breakfast in the room | Bar | Room service | Minibar | Tea/Coffee maker,WiFi is available in some hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
The Best Hotel-Hostel,8.9,Yerevan,"23,000",Not Included,Twin Room,Outdoor fireplace | Picnic area | Outdoor furniture | BBQ facilities | Terrace | Garden,Doesn't have,Tour or class about local culture | Spa facilities | Kids' club | Karaoke | Table tennis | Games room | Sauna (Additional charge),Coffee house on site | Fruits | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Snack bar | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Old Jermuk,9.7,Akhkend,"36,450",Not Included,One-Bedroom House,Outdoor dining area | Outdoor furniture | Terrace,Doesn't have,Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Pub crawls (Additional charge),Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Snack bar | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Popock Tsaghkadzor,8.4,Tsaghkadzor,"16,200",Not Included,Double Room,Outdoor fireplace | Picnic area | BBQ facilities | Balcony | Garden,Doesn't have,Live sport events (broadcast) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Evening entertainment | Horse riding (Additional charge) | Cycling | Hiking | Table tennis | Children's playground | Skiing | Fishing,Fruits (Additional charge) | Special diet menus (on request) | Breakfast in the room | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Street parking,Russian,Doesn't have,Doesn't have,Doesn't have
Hors Home,,Hors,"22,400",Not Included,Three-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor dining area | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Cooking class | Tour or class about local culture | Themed dinner nights,Coffee house on site | Fruits | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Snack bar | Breakfast in the room | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
